Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Tue Jun 18 16:41:45 2019,1,correct,5000,50,500,50,0.2,"[200, 200]",0.0607,0.8989,0.3254,0.2326,0.2944,14.7176,5.5871,56
Tue Jun 18 16:51:21 2019,1,correct,5000,50,500,50,0.2,"[200, 200]",0.0509,0.8338,0.3011,0.2105,0.2676,13.3801,5.1697,56
Tue Jun 18 16:56:35 2019,4,"mre, correct",4000,50,500,50,0.2,"[200, 200]",0.0117,1.2939,0.1154,0.0916,-0.0576,1.2363,-1.5306,60
Tue Jun 18 17:07:09 2019,7,correct,2000,25,250,50,0.1,"[50, 50, 150]",0.0314,0.7646,0.1753,0.15,-0.1754,0.3002,-4.4795,60
Tue Jun 18 17:08:41 2019,7,correct,2000,25,250,50,0.1,"[50, 50, 150]",0.0339,0.7359,0.1802,0.1547,-0.1809,0.3531,-4.4658,60
Tue Jun 18 17:09:28 2019,4,correct,2000,25,250,50,0.5,"[50, 50, 150]",0.0351,0.7536,0.1853,0.1584,-0.189,0.2022,-4.9757,56
Tue Jun 18 17:10:27 2019,0,correct,2000,25,250,50,0.1,"[400, 400, 150]",0.024,0.8834,0.1589,0.1338,-0.1546,0.23199999999999998,-4.0922,56
Tue Jun 18 17:11:30 2019,0,correct,2000,25,250,50,0.5,"[400, 400, 150]",0.0377,0.9755,0.2419,0.1813,0.1851,9.4358,2.5314,56
Tue Jun 18 17:12:11 2019,0,"mae, maxae, ae, correct",2000,25,1000,50,0.1,"[50, 50, 150]",0.5037,4.2553,0.9089,0.6768,-0.9546,-0.9334,-24.2177,56
Tue Jun 18 17:12:56 2019,0,"mae, maxae, ae, correct",2000,25,1000,50,0.5,"[50, 50, 150]",0.5382,0.7331,0.9482,0.7027,-0.991,-0.9127,-24.8585,43
Tue Jun 18 17:13:51 2019,5,correct,2000,25,1000,50,0.1,"[400, 400, 150]",0.0709,1.3551,0.3119,0.2542,0.2548,12.7393,3.0628,56
Tue Jun 18 17:14:48 2019,3,correct,2000,25,1000,50,0.5,"[400, 400, 150]",0.0209,0.8704,0.1698,0.1327,0.0867,5.1789,0.3984,56
Tue Jun 18 17:16:41 2019,4,"mse, correct",2000,100,250,50,0.1,"[50, 50, 150]",0.0198,1.3069,0.19399999999999998,0.1265,0.0859,6.2504,1.8964,60
Tue Jun 18 17:18:34 2019,3,"mse, rmse, correct",2000,100,250,50,0.5,"[50, 50, 150]",0.017,1.243,0.172,0.1161,0.0599,5.2002,1.2268,60
Tue Jun 18 17:21:24 2019,4,"mse, rmse, correct",2000,100,250,50,0.1,"[400, 400, 150]",0.0091,1.0017,0.1156,0.0851,0.0177,2.8629,0.1571,60
